# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
33041, 1, 1, 4.0000, 1, 1, 0, 1.0923, 1.0363, 1.0052, 0
33042, 1, 1, 1.0000, 1, 0, 0, 1.0015, 0.9580, 0.9940, 0
33043, 1, 1, 3.0000, 1, 1, 0, 1.0196, 0.9869, 0.9981, 0
33044, 1, 1, 2.0000, 1, 1, 0, 1.0033, 0.9739, 0.9963, 0
33045, 1, 1, 100.0000, 1, 0, 0, 1.0307, 0.9866, 0.9981, 0
33046, 3, 2, 28.0616, 2, 1, 0, 1.0381, 0.9944, 0.9992, 0
33047, 1, 1, 1.0000, 1, 1, 0, 1.0392, 0.9996, 0.9999, 0
33048, 2, 2, 0.3969, 1, 1, 0, 1.0561, 1.0139, 1.0020, 0
33049, 3, 3, 0.2311, 1, 1, 0, 1.1224, 1.0672, 1.0097, 0
33050, 4, 4, 0.1575, 1, 1, 0, 1.0721, 1.0169, 1.0024, 0
